Date,BLL,DISH,DVA,NEM,UDR,VFC
7/17/2012,19.06312943,28.119340899999997,49.78499985,37.35497284,19.58823776,26.62051392
7/18/2012,19.12301636,28.06096268,49.32500076,37.01516724,19.45069313,26.86872101
7/19/2012,19.4915638,29.07286835,49.19499969,37.42129135,19.37107086,28.878995899999996
7/20/2012,19.24279976,28.69340324,48.59999847,37.42129135,19.4724102,28.50574303
7/23/2012,19.04470444,28.13880157,47.56499863,36.88255692,19.4724102,28.44321251
7/24/2012,18.80975533,27.82744598,47.40000153,36.74164963,19.42173576,28.11922264
7/25/2012,18.67154694,28.37231827,47.85499954,37.96001434,19.51584625,27.90511322
7/26/2012,18.86964035,29.15070724,48.86000061,38.20038223,19.34211349,28.2139492
7/27/2012,19.29807663,30.13342476,49.30500031,36.90740585,19.49413109,28.44890022
7/30/2012,19.30267906,30.27937508,49.90000153,37.51244736,19.45793343,28.46784973
7/31/2012,19.14605904,29.92909813,49.20999908,36.8576889,19.2624855,28.28784561
8/1/2012,18.63008118,29.73450089,49.31499863,36.80795670000001,18.95121384,27.61902046
8/2/2012,18.24310493,28.94638062,48.68500137,36.15318679999999,19.13942337,27.74786377
8/3/2012,18.93413734,29.61774254,49.64500046,37.02345276,19.09599304,28.24238014
8/6/2012,19.00784492,29.67612076,47.86500168,38.22522736,18.87882614,28.365526199999998
8/7/2012,19.13683701,29.84152985,48.5,38.64795303,18.487930300000002,28.70467949
8/8/2012,19.08155441,29.77342033,48.61999893,38.88828659,18.27077103,28.4053154
8/9/2012,19.22437096,30.15288544,48.13999939,39.12036133,18.27077103,28.26510429
8/10/2012,19.35335541,30.07504654,48.34000015,39.35243988,18.23457718,27.91459465
8/13/2012,19.357973100000002,30.17234612,48.18999863,38.88828659,18.22733498,28.34089851
8/14/2012,19.35335541,29.80260849,48.93500137,38.40758133,18.10428047,28.29921341
8/15/2012,19.64819717,30.21126366,49.06499863,38.64795303,18.18390656,28.27837372
8/16/2012,19.87393379,30.16261482,49.14500046,39.44361496,18.16218758,28.61753845
8/17/2012,19.83707809,30.93127632,48.81499863,39.08721924,18.13323212,28.99456787
8/20/2012,19.76797867,30.639379499999997,48.99499893,39.72540665,18.06084442,28.36931419
8/21/2012,19.54684639,30.24045372,48.00500107,39.99063492,18.11151314,28.352264399999996
8/22/2012,19.69887161,30.67829895,48.25,40.86088943,18.2852478,28.26510429
8/23/2012,19.42707443,31.13560295,48.09000015,40.64539719,18.40830421,28.14005852
8/24/2012,19.40863991,31.39830971,48.51499939,40.80287552,18.43001938,28.46216202
8/27/2012,19.32572174,31.15506363,48.72999954,40.64539719,18.415542600000002,28.37121964
8/28/2012,19.29347229,30.97019577,48.75,40.47963715,18.54584312,28.97751045
8/29/2012,19.29347229,30.97019577,48.65999985,40.172965999999995,18.38658905,28.96614647
8/30/2012,19.30733299,30.97992516,48.5,40.23926926,18.27800941,28.86193466
8/31/2012,19.47356987,31.12587357,48.63499832,42.00466156,18.27800941,28.92825127
9/4/2012,19.29347229,30.1820755,48.81999969,41.28692245,18.42278481,28.65921021
9/5/2012,19.47818756,31.4761467,50.14500046,41.412116999999995,18.43725777,28.66678429
9/6/2012,19.71369934,31.709665299999998,50.42499924,42.48038101,18.55308723,29.07990646
9/7/2012,19.75525665,31.4761467,50.29000092,43.13971329,18.72681999,29.29312706
9/10/2012,19.71369934,31.38857841,49.22999954,42.8642807,18.639949800000004,29.49301147
9/11/2012,19.83376122,31.68047714,48.79999924,43.39842224,18.7195797,29.65103531
9/12/2012,19.87070084,31.81669426,49.23500061,43.86578751,18.66890335,29.62438011
9/13/2012,20.10621834,32.25453949,49.79499817,46.27774048,18.87882614,30.65240479
9/14/2012,19.98614883,32.17670059,49.22499847,47.73826599,19.067041399999997,31.284442900000002
9/17/2012,19.92612457,31.14533043,49.84000015,47.53797150000001,19.11046982,31.15500069
9/18/2012,19.91226959,31.11614227,49.75500107,47.37940216,18.83539581,30.56102562
9/19/2012,19.8429985,30.50316048,49.28499985,47.44615173,18.77025223,30.59910011
9/20/2012,19.70907593,30.14315605,49.33000183,47.25419998,18.33592033,30.49819946
9/21/2012,19.63057709,31.04803467,50.75,46.99547958,18.27800941,30.17265701
9/24/2012,19.672134399999997,30.48370171,50.18500137,46.11917496,18.24905205,29.92897606
9/25/2012,19.49666214,30.29883385,50.15000153,45.95226288,17.98121643,30.03367805
9/26/2012,19.53360176,29.58855247,50.47999954,46.11917496,18.04636765,30.20883179
9/27/2012,19.55668831,30.13342476,51.20000076,47.18743896,18.1549511,30.54388809
9/28/2012,19.53822136,29.78315163,51.80500031,46.75346375,17.96673965,30.33829498
10/1/2012,19.61211205,29.47179413,51.72000122,46.48639297,17.74957848,30.20120621
10/2/2012,19.48279762,29.86099052,52.05500031,46.46134567,17.8726387,30.69048119
10/3/2012,19.65367126,31.06749344,53.84999847,46.29442978,17.71338463,30.57244492
10/4/2012,19.74140549,31.39830971,54.20000076,46.9370575,17.48173714,31.02172279
10/5/2012,19.75987244,31.2523613,54.19499969,46.61156845,17.6497612,30.99507904
10/8/2012,19.70445824,31.2523613,54.20500183,46.53643799,17.64245415,30.69048119
10/9/2012,19.51512527,31.28155327,53.90999985,45.48487854,17.71551132,30.47154999
10/10/2012,19.18725777,31.40803909,54.77999878,45.776992799999995,17.87623215,30.38016510000001
10/11/2012,19.1687851,32.7896843,54.73500061,46.19429398,17.65706825,30.46583939
10/12/2012,19.07642555,32.48805618,55.20999908,45.85209274,17.54017639,30.78947449
10/15/2012,19.28885651,33.59725952,54.5,45.56834793,17.74473381,31.15500069
10/16/2012,19.57516289,33.33455276,54.93500137,46.63660812,17.84700966,32.0364418
10/17/2012,19.87070084,33.19833374,55.27000046,46.78683853,17.82509041,32.1468544
10/18/2012,19.83376122,34.77457809,56.53499985,45.87714005,18.11000252,32.14113235
10/19/2012,19.69984818,34.51187134,55.36000061,45.81872177,18.05155945,31.74896812
10/22/2012,19.71369934,35.64053726,56.0,46.31113815,17.87623215,30.35732841
10/23/2012,19.395063399999998,35.02755356,55.68999863,44.9257164,17.73742867,29.63580704
10/24/2012,19.36274147,34.52159882,55.40999985,43.88247681,17.73012161,29.837598800000002
10/25/2012,19.6259594,34.80376816,55.70500183,44.70037842,17.80317497,29.54441833
